Carimbo de data/hora,TERMO DE CONSENTIMENTO LIVRE E ESCLARECIDO,Você trabalha e/ou estuda na área de tecnologia?,Quais são as suas áreas de atuação?,Quanto tempo de experiência profissional você possui na área de tecnologia?,Você utiliza ferramentas de IAs conversacionais e de geração de código profissionalmente?,Para quais propósitos você utiliza IAs conversacionais e de geração de código profissionalmente?,Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [ChatGPT],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [Bing Chat],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [GitHub Copilot],Há quanto tempo você começou a utilizar as seguintes ferramentas de IA? [Tabnine],"Caso tenha utilizado IAs que não foram citadas acima, informe-as abaixo e indique há quando tempo você começou a utilizá-las.",Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [ChatGPT],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [Bing Chat],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [GitHub Copilot],Qual a sua frequência média de uso das seguintes ferramentas de IA profissionalmente? [Tabnine],"Caso tenha utilizado IAs que não foram citadas acima, informe-as abaixo e indique a frequência de uso.","Complete a seguinte frase de acordo com a sua percepção e experiência:

""O uso de ferramentas de IA afetou a minha produtividade profissional [...]"" [Resposta]","Complete a seguinte frase de acordo com a sua percepção e experiência:

""O uso de ferramentas de IA afetou a minha satisfação profissional [...]"" [Resposta]","Qual o seu sentimento com relação a modificações, em razão de IAs, nos cargos da área da tecnologia?",Qual o seu sentimento sobre complicações éticas e legais resultantes do uso de IAs de geração de código no mercado de trabalho?,Qual o seu sentimento sobre o futuro das ferramentas de IA conversacionais e de geração de código?
10/05/2023 09:47:49,Aceito participar,Sim,"Inteligência Artificial, Ciência de Dados, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,Auxílio na escrita de código,Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Semanalmente,Nunca utilizei,Semanalmente,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Totalmente negativo - Haverá inúmeros problemas legais e éticos envolvendo código gerado por IAs, o que tornará o seu uso problemático no mercado de trabalho.","Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 10:04:36,Aceito participar,Sim,"Gerência de Projetos, Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Auxílio na escrita de código, Debugging e investigação de problemas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Muito positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 10:16:18,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Muito positivamente,Positivamente,Neutro - Não tenho opinião a respeito.,"Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 10:25:10,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 10:54:26,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 11:02:43,Aceito participar,Sim,"Inteligência Artificial, Ciência de Dados",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Diariamente,Nunca utilizei,Diariamente,Nunca utilizei,,Muito positivamente,Muito positivamene,Neutro - Não tenho opinião a respeito.,"Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 11:33:06,Aceito participar,Sim,"Desenvolvimento de Software, Ciência de Dados",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.",Neutro - Não tenho opinião a respeito.,"Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 12:15:40,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps, Inteligência Artificial, Ciência de Dados",Menos que 2 anos,Sim,Aprendizado de novos assuntos e tecnologias,Nunca utilizei,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Nunca utilizei,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 13:39:14,Aceito participar,Sim,"Desenvolvimento de Software, Inteligência Artificial, Ciência de Dados",Menos que 2 anos,Sim,Aprendizado de novos assuntos e tecnologias,Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Raramente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 14:23:08,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,"Usei o CopyAI, o Midjouney e o Stable Diffusion, tendo usado um um ano atrás.",Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,"As mesmas de antes, mas deixei de usar quando se tornaram pagas.",Muito positivamente,Muito positivamene,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.",Neutro - Não tenho opinião a respeito.,Totalmente pessimista - Ferramentas de IAs são perigosas para a sociedade e devem ser regulamentadas para manterem-se limitadas a escopos mais restritos.
10/05/2023 14:45:18,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Muito positivamente,Muito positivamene,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.",Neutro - Não tenho opinião a respeito.,"Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 14:47:17,Aceito participar,Sim,"Desenvolvimento de Software, Infraestrutura e DevOps, Ciência de Dados",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 15:12:18,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 18:07:33,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 19:08:16,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Auxílio na escrita de código, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Mensalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Não afetou,Neutro - Não tenho opinião a respeito.,Neutro - Não tenho opinião a respeito.,Neutro - Não tenho opinião a respeito.
10/05/2023 19:30:35,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Muito positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 19:54:03,Aceito participar,Sim,"Gerência de Projetos, Desenvolvimento de Software, Infraestrutura e DevOps",Entre 4 e 6 anos,Não,,,,,,,,,,,,,,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Totalmente negativo - Haverá inúmeros problemas legais e éticos envolvendo código gerado por IAs, o que tornará o seu uso problemático no mercado de trabalho.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 19:54:27,Aceito participar,Sim,Desenvolvimento de Software,Entre 2 e 4 anos,Sim,Aprendizado de novos assuntos e tecnologias,Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Raramente,Nunca utilizei,Raramente,Nunca utilizei,,Não afetou,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 19:56:36,Aceito participar,Sim,"Desenvolvimento de Software, Inteligência Artificial, Ciência de Dados",Entre 2 e 4 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 19:57:17,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Neutro - Não tenho opinião a respeito.
10/05/2023 19:59:20,Aceito participar,Sim,"Infraestrutura e DevOps, Ciência de Dados",Entre 2 e 4 anos,Sim,"Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Mensalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 19:59:50,Aceito participar,Sim,"Infraestrutura e DevOps, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 20:01:19,Aceito participar,Sim,Infraestrutura e DevOps,Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de textos em linguagem natural, como documentação e descrições",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,Neutro - Não tenho opinião a respeito.,"Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 20:02:00,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:02:30,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Menos de 1 ano,Nunca utilizei,,Raramente,Nunca utilizei,Raramente,Nunca utilizei,,Negativamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.",Neutro - Não tenho opinião a respeito.,"Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:04:49,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,Neutro - Não tenho opinião a respeito.,"Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:05:05,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 20:05:49,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Não afetou,Neutro - Não tenho opinião a respeito.,Neutro - Não tenho opinião a respeito.,"Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 20:08:46,Aceito participar,Sim,Ciência de Dados,Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de testes automáticos, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Negativamente,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:11:18,Aceito participar,Sim,"Desenvolvimento de Software, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Não,,,,,,,,,,,,,,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 20:12:46,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Mais que 3 anos,Nunca utilizei,,Raramente,Nunca utilizei,Semanalmente,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.",Neutro - Não tenho opinião a respeito.,"Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 20:14:53,Aceito participar,Sim,"Infraestrutura e DevOps, Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Mensalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Não afetou,Não afetou,"Parcialmente negativo - Apesar do uso de ferramentas de IA terem seus pontos positivos no trabalho, a perda de empregos consequente do uso dessas tecnologias torna a prática indesejável.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.","Relativamente pessimista - Ferramentas de IAs têm certos benefícios, mas trazem impactos negativos para a sociedade que desencorajam o seu uso e desenvolvimento."
10/05/2023 20:18:17,Aceito participar,Sim,Desenvolvimento de Software,Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:20:39,Aceito participar,Sim,Desenvolvimento de Software,Menos que 2 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Diariamente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Não afetou,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.",Neutro - Não tenho opinião a respeito.,"Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 20:30:59,Aceito participar,Sim,"Ensino e aprendizado (professor(a), monitor(a) ou estudante)",Entre 4 e 6 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Parcialmente positivo - Alguns empregos podem deixar de existir, mas o mercado em geral se beneficiará com os novos cargos impulsionados por essas tecnologias.","Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
10/05/2023 20:58:08,Aceito participar,Sim,Desenvolvimento de Software,Mais que 8 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Debugging e investigação de problemas, Resolução de dúvidas",Menos de 1 ano,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Semanalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Muito positivamente,Positivamente,Neutro - Não tenho opinião a respeito.,"Parcialmente positivo - É possível que algumas complicações legais e éticas isoladas surjam pelo uso dessas tecnologias, mas a grande maioria do mercado não sofrerá esses problemas.","Relativamente otimista - Ferramentas de IAs são promissoras, mas o nível de atenção e crédito que se dá a essas tecnologias atualmente não está alinhado com a realidade."
10/05/2023 21:10:05,Aceito participar,Sim,"Desenvolvimento de Software, Ciência de Dados",Entre 2 e 4 anos,Sim,"Aprendizado de novos assuntos e tecnologias, Auxílio na escrita de código, Auxílio na escrita de textos em linguagem natural, como documentação e descrições",Mais que 3 anos,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Mensalmente,Nunca utilizei,Nunca utilizei,Nunca utilizei,,Positivamente,Positivamente,"Totalmente positivo - A utilização de IAs no mercado de trabalho será feita apenas de forma ferramental, haverá perda de emprego mínima e muitos novos cargos irão surgir no lugar.","Parcialmente negativo - Alguns problemas legais e morais do uso dessas tecnologias são prováveis, limitando a utilização desse tipo de IA, principalmente em grandes empresas.",Totalmente otimista - Ferramentas de IAs são bastante promissoras e auxiliarão cada vez mais as pessoas em mais atividades pessoais e profissionais.
